Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Alternative Organism Name],Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Compound Name,Compound PubChem CID,Compound PubChem URL,Alternative Compound PubChem CID,Alternative Compound PubChem URL,Compound ChEMBL ID,Alternative Compound ChEMBL ID,Broad Identifier,Compound InChIKey,Alternative Compound InChIKey,Compound SMILES,Alternative Compound SMILES,Control Type,Channels,Nuclei Count,Percentage Effect,Percentage Viability
ESP0029846.zarr,D14,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,L-alanine,5950,https://pubchem.ncbi.nlm.nih.gov/compound/5950,7311724,https://pubchem.ncbi.nlm.nih.gov/compound/7311724,CHEMBL279597,,BRD-K25125382-001-02-5,QNAYBMKLOCPYGJ-REOHCLBHSA-N,,N[C@@H](C)C(=O)O,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,556,5.32,115.19
ESP0029846.zarr,D15,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,NVP-DPP728,9796290,https://pubchem.ncbi.nlm.nih.gov/compound/9796290,,,CHEMBL77538,,"BRD-K77396579-300-01-0, BRD-K77396579-300-02-9",VFFZWMWTUSXDCB-ZDUSSCGKSA-N,,O=C(N2CCC[C@H]2C#N)CNCCNC1=NC=C(C#N)C=C1,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,538,-4.45,111.46
ESP0029846.zarr,D16,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,BAY-60-6583,11717831,https://pubchem.ncbi.nlm.nih.gov/compound/11717831,,,CHEMBL4202825,,"BRD-K32952627-001-01-0, BRD-K32952627-001-02-9",ZTYHZMAZUWOXNC-UHFFFAOYSA-N,,NC1=NC(SCC(N)=O)=C(C#N)C(C2=CC=C(OCC3CC3)C=C2)=C1C#N,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,578,-1.94,119.75
ESP0029846.zarr,D17,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,AY-9944,,,,,,,"BRD-K77012840-300-01-6, BRD-K77012840-300-02-9",RZRPZWGIOOZIBE-IYARVYRRSA-N,,ClC(C=CC=C3)=C3CNC[C@H]1CC[C@H](CNCC2=C(Cl)C=CC=C2)CC1,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,509,111.44,105.45
ESP0029846.zarr,D18,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,Lactobionic acid,7314,https://pubchem.ncbi.nlm.nih.gov/compound/7314,,,CHEMBL3039602,,BRD-K01624185-001-05-7,JYTUSYBCFIZPBE-AMTLMPIISA-N,,O=C(O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,506,-2.78,104.83
ESP0029846.zarr,D19,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,R(+)-3-(3-Hydroxyphenyl)-N-propylpiperidine hydrochloride,202478,https://pubchem.ncbi.nlm.nih.gov/compound/202478,,,CHEMBL7393,,BRD-K02908048-003-06-4,HTSNFXAICLXZMA-ZDUSSCGKSA-N,,CCCN1CCC[C@H](c2cccc(O)c2)C1,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,564,7.69,116.85
ESP0029846.zarr,D20,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,Lithium acetoacetate,6971017,https://pubchem.ncbi.nlm.nih.gov/compound/6971017,,,CHEMBL2074691,,BRD-K73234506-235-02-1,WDJHALXBUFZDSR-UHFFFAOYSA-M,,CC(=O)CC(=O)[O-],,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,468,1.77,96.96
ESP0029846.zarr,D21,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,mepiroxol,71668,https://pubchem.ncbi.nlm.nih.gov/compound/71668,,,CHEMBL1985503,,"BRD-K78299798-001-02-2, BRD-K78299798-001-03-0, BRD-K78299798-001-04-8",LQYJAVWWKTWWKN-UHFFFAOYSA-N,,[O-][n+]1cccc(CO)c1,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,549,-1.46,113.74
ESP0029846.zarr,D22,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,chicago-sky-blue-6b,,,,,,,"BRD-K56483981-342-06-4, BRD-K56483981-342-07-2",OHMJKMNGYYWCHB-HVMBLDELSA-J,,COc1cc(ccc1\N=N\c1ccc2c(cc(c(N)c2c1O)S(O)(=O)=O)S(O)(=O)=O)-c1ccc(\N=N\c2ccc3c(cc(c(N)c3c2O)S(O)(=O)=O)S(O)(=O)=O)c(OC)c1,,,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,564,-0.62,116.85
ESP0029846.zarr,D23,Chlorocebus aethiops,NCBITaxon,9534,African green monkey,Vero-E6,BTO,4755,,,,,,,,,,,,,positive control,LipidTox: phospholipidosis|neutral lipid droplets; Hoechst 33258: nuclei; CellMask: cytoplasm,503,93.3,104.21
